a,b,c,d,e,f
Martin16,Off,6,John4,Off,4
Joeseph9,Def,7,Max14,Off,5
Tom11,na,3,Sherman12,Def,5
Ryan18,na,5,Karen13,Def,7
Jeffrey1,Off,7,Chris20,Def,3
Score,,3,,,0
,,,,,
Game ID: ,82,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Frank8,Off,9
Jonathan5,Def,9,Marcus17,Def,4
Martin16,Off,6,John4,Off,4
Joeseph9,Def,7,Max14,Off,5
Tom11,na,3,Sherman12,Def,5
Ryan18,na,5,Karen13,Def,7
Jeffrey1,Off,7,Chris20,Def,3
Score,,2,,,0
,,,,,
Game ID: ,83,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Vivien3,Off,8
Alex2,Off,3,Danny19,na,9
Khoman 6,Def,6,Max14,Off,5
Martin16,Off,6,Jose15,Def,8
Score,,0,,,7
,,,,,
Game ID: ,84,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Vivien3,Off,8
Alex2,Off,3,Danny19,na,9
Khoman 6,Def,6,Max14,Off,5
Martin16,Off,6,Jose15,Def,8
Score,,0,,,6
,,,,,
Game ID: ,85,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jose15,Def,8
Alex2,Off,3,Joeseph9,Def,7
Chris20,Def,3,Jessica10,Off,7
Vivien3,Off,8,Max14,Off,5
Danny19,na,9,John4,Off,4
Khoman 6,Def,6,Michael7,na,8
Score,,1,,,0
,,,,,
Game ID: ,86,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jose15,Def,8
Alex2,Off,3,Joeseph9,Def,7
Chris20,Def,3,Jessica10,Off,7
Vivien3,Off,8,Max14,Off,5
Danny19,na,9,John4,Off,4
Khoman 6,Def,6,Michael7,na,8
Score,,0,,,0
,,,,,
Game ID: ,87,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Frank8,Off,9
Vivien3,Off,8,Alex2,Off,3
Jose15,Def,8,Jonathan5,Def,9
Michael7,na,8,Ryan18,na,5
Jeffrey1,Off,7,John4,Off,4
Tom11,na,3,Max14,Off,5
Joeseph9,Def,7,Khoman 6,Def,6
Danny19,na,9,,,
Score,,4,,,0
,,,,,
Game ID: ,88,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Frank8,Off,9
Vivien3,Off,8,Alex2,Off,3
Jose15,Def,8,Jonathan5,Def,9
Michael7,na,8,Ryan18,na,5
Jeffrey1,Off,7,John4,Off,4
Tom11,na,3,Max14,Off,5
Joeseph9,Def,7,Khoman 6,Def,6
Danny19,na,9,,,
Score,,4,,,0
,,,,,
Game ID: ,89,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Jose15,Def,8
Michael7,na,8,Marcus17,Def,4
Chris20,Def,3,Jessica10,Off,7
Alex2,Off,3,Frank8,Off,9
Score,,0,,,4
,,,,,
Game ID: ,90,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Jose15,Def,8
Michael7,na,8,Marcus17,Def,4
Chris20,Def,3,Jessica10,Off,7
Alex2,Off,3,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,91,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Danny19,na,9
Karen13,Def,7,Michael7,na,8
Frank8,Off,9,Marcus17,Def,4
Ryan18,na,5,John4,Off,4
Jeffrey1,Off,7,Martin16,Off,6
Score,,2,,,0
,,,,,
Game ID: ,92,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Danny19,na,9
Karen13,Def,7,Michael7,na,8
Frank8,Off,9,Marcus17,Def,4
Ryan18,na,5,John4,Off,4
Jeffrey1,Off,7,Martin16,Off,6
Score,,1,,,0
,,,,,
Game ID: ,93,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Chris20,Def,3
Jose15,Def,8,Sherman12,Def,5
Khoman 6,Def,6,Max14,Off,5
Marcus17,Def,4,Michael7,na,8
Alex2,Off,3,Jessica10,Off,7
Danny19,na,9,Joeseph9,Def,7
Score,,1,,,0
,,,,,
Game ID: ,94,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Chris20,Def,3
Jose15,Def,8,Sherman12,Def,5
Khoman 6,Def,6,Max14,Off,5
Marcus17,Def,4,Michael7,na,8
Alex2,Off,3,Jessica10,Off,7
Danny19,na,9,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,95,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Chris20,Def,3
Khoman 6,Def,6,Frank8,Off,9
Vivien3,Off,8,Marcus17,Def,4
John4,Off,4,Max14,Off,5
Joeseph9,Def,7,Jonathan5,Def,9
Score,,0,,,0
,,,,,
Game ID: ,96,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Chris20,Def,3
Khoman 6,Def,6,Frank8,Off,9
Vivien3,Off,8,Marcus17,Def,4
John4,Off,4,Max14,Off,5
Joeseph9,Def,7,Jonathan5,Def,9
Score,,1,,,0
,,,,,
Game ID: ,97,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Joeseph9,Def,7
Jeffrey1,Off,7,Tom11,na,3
Chris20,Def,3,Ryan18,na,5
John4,Off,4,Danny19,na,9
Jose15,Def,8,,,
Score,,2,,,0
,,,,,
Game ID: ,98,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Joeseph9,Def,7
Jeffrey1,Off,7,Tom11,na,3
Chris20,Def,3,Ryan18,na,5
John4,Off,4,Danny19,na,9
Jose15,Def,8,,,
Score,,2,,,0
,,,,,
Game ID: ,99,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Ryan18,na,5
Danny19,na,9,Khoman 6,Def,6
Frank8,Off,9,Chris20,Def,3
Tom11,na,3,Max14,Off,5
Jose15,Def,8,,,
Score,,6,,,0
,,,,,
Game ID: ,100,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Ryan18,na,5
Danny19,na,9,Khoman 6,Def,6
Frank8,Off,9,Chris20,Def,3
Tom11,na,3,Max14,Off,5
Jose15,Def,8,,,
Score,,6,,,0
,,,,,
Game ID: ,101,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jonathan5,Def,9
Joeseph9,Def,7,John4,Off,4
Khoman 6,Def,6,Sherman12,Def,5
Vivien3,Off,8,Frank8,Off,9
Jeffrey1,Off,7,,,
Score,,1,,,0
,,,,,
Game ID: ,102,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jonathan5,Def,9
Joeseph9,Def,7,John4,Off,4
Khoman 6,Def,6,Sherman12,Def,5
Vivien3,Off,8,Frank8,Off,9
Jeffrey1,Off,7,,,
Score,,2,,,0
,,,,,
Game ID: ,103,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Frank8,Off,9
Vivien3,Off,8,Alex2,Off,3
Jonathan5,Def,9,Sherman12,Def,5
Marcus17,Def,4,Joeseph9,Def,7
Tom11,na,3,Danny19,na,9
Martin16,Off,6,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,104,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Frank8,Off,9
Vivien3,Off,8,Alex2,Off,3
Jonathan5,Def,9,Sherman12,Def,5
Marcus17,Def,4,Joeseph9,Def,7
Tom11,na,3,Danny19,na,9
Martin16,Off,6,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,105,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Michael7,na,8
Khoman 6,Def,6,Vivien3,Off,8
Tom11,na,3,Karen13,Def,7
Jessica10,Off,7,Martin16,Off,6
Score,,0,,,2
,,,,,
Game ID: ,106,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Michael7,na,8
Khoman 6,Def,6,Vivien3,Off,8
Tom11,na,3,Karen13,Def,7
Jessica10,Off,7,Martin16,Off,6
Score,,0,,,4
,,,,,
Game ID: ,107,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Joeseph9,Def,7
Max14,Off,5,Ryan18,na,5
Frank8,Off,9,Jessica10,Off,7
Jonathan5,Def,9,Tom11,na,3
Jose15,Def,8,Karen13,Def,7
Score,,1,,,0
,,,,,
Game ID: ,108,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Joeseph9,Def,7
Max14,Off,5,Ryan18,na,5
Frank8,Off,9,Jessica10,Off,7
Jonathan5,Def,9,Tom11,na,3
Jose15,Def,8,Karen13,Def,7
Score,,2,,,0
,,,,,
Game ID: ,109,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Alex2,Off,3
Vivien3,Off,8,Max14,Off,5
Jeffrey1,Off,7,Tom11,na,3
Martin16,Off,6,Joeseph9,Def,7
Marcus17,Def,4,John4,Off,4
Karen13,Def,7,Jose15,Def,8
Michael7,na,8,Sherman12,Def,5
Score,,5,,,0
,,,,,
Game ID: ,110,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Alex2,Off,3
Vivien3,Off,8,Max14,Off,5
Jeffrey1,Off,7,Tom11,na,3
Martin16,Off,6,Joeseph9,Def,7
Marcus17,Def,4,John4,Off,4
Karen13,Def,7,Jose15,Def,8
Michael7,na,8,Sherman12,Def,5
Score,,4,,,0
,,,,,
Game ID: ,111,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Max14,Off,5
Danny19,na,9,Vivien3,Off,8
Jose15,Def,8,Frank8,Off,9
Martin16,Off,6,Tom11,na,3
Sherman12,Def,5,Michael7,na,8
Ryan18,na,5,Joeseph9,Def,7
Chris20,Def,3,Marcus17,Def,4
Score,,0,,,1
,,,,,
Game ID: ,112,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Max14,Off,5
Danny19,na,9,Vivien3,Off,8
Jose15,Def,8,Frank8,Off,9
Martin16,Off,6,Tom11,na,3
Sherman12,Def,5,Michael7,na,8
Ryan18,na,5,Joeseph9,Def,7
Chris20,Def,3,Marcus17,Def,4
Score,,0,,,0
,,,,,
Game ID: ,113,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Vivien3,Off,8
Tom11,na,3,Sherman12,Def,5
Danny19,na,9,Chris20,Def,3
Jessica10,Off,7,Jeffrey1,Off,7
Score,,3,,,0
,,,,,
Game ID: ,114,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Vivien3,Off,8
Tom11,na,3,Sherman12,Def,5
Danny19,na,9,Chris20,Def,3
Jessica10,Off,7,Jeffrey1,Off,7
Score,,2,,,0
,,,,,
Game ID: ,115,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Michael7,na,8
Tom11,na,3,Khoman 6,Def,6
Joeseph9,Def,7,Karen13,Def,7
Jeffrey1,Off,7,Frank8,Off,9
Score,,0,,,1
,,,,,
Game ID: ,116,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Michael7,na,8
Tom11,na,3,Khoman 6,Def,6
Joeseph9,Def,7,Karen13,Def,7
Jeffrey1,Off,7,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,117,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Karen13,Def,7
Jeffrey1,Off,7,Ryan18,na,5
Khoman 6,Def,6,Alex2,Off,3
Martin16,Off,6,Jonathan5,Def,9
Danny19,na,9,Jessica10,Off,7
Joeseph9,Def,7,Tom11,na,3
Michael7,na,8,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,118,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Karen13,Def,7
Jeffrey1,Off,7,Ryan18,na,5
Khoman 6,Def,6,Alex2,Off,3
Martin16,Off,6,Jonathan5,Def,9
Danny19,na,9,Jessica10,Off,7
Joeseph9,Def,7,Tom11,na,3
Michael7,na,8,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,119,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jonathan5,Def,9
Khoman 6,Def,6,Frank8,Off,9
Jose15,Def,8,Tom11,na,3
John4,Off,4,Michael7,na,8
Joeseph9,Def,7,Alex2,Off,3
Max14,Off,5,Sherman12,Def,5
Karen13,Def,7,Marcus17,Def,4
Score,,1,,,0
,,,,,
Game ID: ,120,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jonathan5,Def,9
Khoman 6,Def,6,Frank8,Off,9
Jose15,Def,8,Tom11,na,3
John4,Off,4,Michael7,na,8
Joeseph9,Def,7,Alex2,Off,3
Max14,Off,5,Sherman12,Def,5
Karen13,Def,7,Marcus17,Def,4
Score,,1,,,0
,,,,,
Game ID: ,121,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,John4,Off,4
Ryan18,na,5,Jessica10,Off,7
Danny19,na,9,Max14,Off,5
Alex2,Off,3,Sherman12,Def,5
Chris20,Def,3,Marcus17,Def,4
Khoman 6,Def,6,Jose15,Def,8
Jeffrey1,Off,7,Martin16,Off,6
Score,,1,,,0
,,,,,
Game ID: ,122,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,John4,Off,4
Ryan18,na,5,Jessica10,Off,7
Danny19,na,9,Max14,Off,5
Alex2,Off,3,Sherman12,Def,5
Chris20,Def,3,Marcus17,Def,4
Khoman 6,Def,6,Jose15,Def,8
Jeffrey1,Off,7,Martin16,Off,6
Score,,1,,,0
,,,,,
Game ID: ,123,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Khoman 6,Def,6
Martin16,Off,6,Karen13,Def,7
Jose15,Def,8,Vivien3,Off,8
Sherman12,Def,5,Jeffrey1,Off,7
Jessica10,Off,7,Max14,Off,5
Danny19,na,9,Michael7,na,8
Alex2,Off,3,Joeseph9,Def,7
Marcus17,Def,4,,,
Score,,2,,,0
,,,,,
Game ID: ,124,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Khoman 6,Def,6
Martin16,Off,6,Karen13,Def,7
Jose15,Def,8,Vivien3,Off,8
Sherman12,Def,5,Jeffrey1,Off,7
Jessica10,Off,7,Max14,Off,5
Danny19,na,9,Michael7,na,8
Alex2,Off,3,Joeseph9,Def,7
Marcus17,Def,4,,,
Score,,1,,,0
,,,,,
Game ID: ,125,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jeffrey1,Off,7
Michael7,na,8,Joeseph9,Def,7
Max14,Off,5,Martin16,Off,6
Khoman 6,Def,6,Sherman12,Def,5
Marcus17,Def,4,Danny19,na,9
Tom11,na,3,Chris20,Def,3
Frank8,Off,9,Jonathan5,Def,9
Karen13,Def,7,Alex2,Off,3
Score,,0,,,2
,,,,,
Game ID: ,126,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jeffrey1,Off,7
Michael7,na,8,Joeseph9,Def,7
Max14,Off,5,Martin16,Off,6
Khoman 6,Def,6,Sherman12,Def,5
Marcus17,Def,4,Danny19,na,9
Tom11,na,3,Chris20,Def,3
Frank8,Off,9,Jonathan5,Def,9
Karen13,Def,7,Alex2,Off,3
Score,,0,,,0
,,,,,
Game ID: ,127,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Vivien3,Off,8
Jonathan5,Def,9,Max14,Off,5
John4,Off,4,Karen13,Def,7
Martin16,Off,6,Jeffrey1,Off,7
Danny19,na,9,Ryan18,na,5
Sherman12,Def,5,Khoman 6,Def,6
Alex2,Off,3,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,128,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Vivien3,Off,8
Jonathan5,Def,9,Max14,Off,5
John4,Off,4,Karen13,Def,7
Martin16,Off,6,Jeffrey1,Off,7
Danny19,na,9,Ryan18,na,5
Sherman12,Def,5,Khoman 6,Def,6
Alex2,Off,3,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,129,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Max14,Off,5
Tom11,na,3,Jonathan5,Def,9
Ryan18,na,5,Martin16,Off,6
Frank8,Off,9,Jessica10,Off,7
Danny19,na,9,Jose15,Def,8
Chris20,Def,3,Michael7,na,8
Score,,0,,,1
,,,,,
Game ID: ,130,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Max14,Off,5
Tom11,na,3,Jonathan5,Def,9
Ryan18,na,5,Martin16,Off,6
Frank8,Off,9,Jessica10,Off,7
Danny19,na,9,Jose15,Def,8
Chris20,Def,3,Michael7,na,8
Score,,0,,,2
,,,,,
Game ID: ,131,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jonathan5,Def,9
Martin16,Off,6,Ryan18,na,5
Sherman12,Def,5,Jeffrey1,Off,7
Tom11,na,3,Alex2,Off,3
Score,,0,,,1
,,,,,
Game ID: ,132,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jonathan5,Def,9
Martin16,Off,6,Ryan18,na,5
Sherman12,Def,5,Jeffrey1,Off,7
Tom11,na,3,Alex2,Off,3
Score,,0,,,1
,,,,,
Game ID: ,133,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Martin16,Off,6
Ryan18,na,5,Alex2,Off,3
Karen13,Def,7,Frank8,Off,9
Max14,Off,5,Joeseph9,Def,7
Chris20,Def,3,Marcus17,Def,4
Score,,1,,,0
,,,,,
Game ID: ,134,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Martin16,Off,6
Ryan18,na,5,Alex2,Off,3
Karen13,Def,7,Frank8,Off,9
Max14,Off,5,Joeseph9,Def,7
Chris20,Def,3,Marcus17,Def,4
Score,,0,,,0
,,,,,
Game ID: ,135,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Chris20,Def,3
Jeffrey1,Off,7,Ryan18,na,5
Jonathan5,Def,9,Marcus17,Def,4
Tom11,na,3,Danny19,na,9
Max14,Off,5,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,136,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Chris20,Def,3
Jeffrey1,Off,7,Ryan18,na,5
Jonathan5,Def,9,Marcus17,Def,4
Tom11,na,3,Danny19,na,9
Max14,Off,5,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,137,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Marcus17,Def,4
Sherman12,Def,5,Jonathan5,Def,9
Danny19,na,9,Jessica10,Off,7
Max14,Off,5,Vivien3,Off,8
Frank8,Off,9,Tom11,na,3
Alex2,Off,3,Michael7,na,8
Ryan18,na,5,Khoman 6,Def,6
Jose15,Def,8,,,
Score,,3,,,0
,,,,,
Game ID: ,138,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Marcus17,Def,4
Sherman12,Def,5,Jonathan5,Def,9
Danny19,na,9,Jessica10,Off,7
Max14,Off,5,Vivien3,Off,8
Frank8,Off,9,Tom11,na,3
Alex2,Off,3,Michael7,na,8
Ryan18,na,5,Khoman 6,Def,6
Jose15,Def,8,,,
Score,,2,,,0
,,,,,
Game ID: ,139,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jose15,Def,8
Khoman 6,Def,6,Michael7,na,8
Martin16,Off,6,Frank8,Off,9
Vivien3,Off,8,Karen13,Def,7
Ryan18,na,5,Max14,Off,5
Danny19,na,9,,,
Score,,0,,,0
,,,,,
Game ID: ,140,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jose15,Def,8
Khoman 6,Def,6,Michael7,na,8
Martin16,Off,6,Frank8,Off,9
Vivien3,Off,8,Karen13,Def,7
Ryan18,na,5,Max14,Off,5
Danny19,na,9,,,
Score,,0,,,0
,,,,,
Game ID: ,141,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Sherman12,Def,5
Tom11,na,3,Martin16,Off,6
Frank8,Off,9,Michael7,na,8
Joeseph9,Def,7,Marcus17,Def,4
Score,,4,,,0
,,,,,
Game ID: ,142,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Sherman12,Def,5
Tom11,na,3,Martin16,Off,6
Frank8,Off,9,Michael7,na,8
Joeseph9,Def,7,Marcus17,Def,4
Score,,2,,,0
,,,,,
Game ID: ,143,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Tom11,na,3
Ryan18,na,5,Jose15,Def,8
Vivien3,Off,8,Joeseph9,Def,7
Chris20,Def,3,Michael7,na,8
Alex2,Off,3,Sherman12,Def,5
Marcus17,Def,4,Max14,Off,5
Jonathan5,Def,9,,,
Score,,2,,,0
,,,,,
Game ID: ,144,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Tom11,na,3
Ryan18,na,5,Jose15,Def,8
Vivien3,Off,8,Joeseph9,Def,7
Chris20,Def,3,Michael7,na,8
Alex2,Off,3,Sherman12,Def,5
Marcus17,Def,4,Max14,Off,5
Jonathan5,Def,9,,,
Score,,1,,,0
,,,,,
Game ID: ,145,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Jessica10,Off,7
Martin16,Off,6,Jose15,Def,8
Marcus17,Def,4,Danny19,na,9
Joeseph9,Def,7,Max14,Off,5
John4,Off,4,Frank8,Off,9
Sherman12,Def,5,Khoman 6,Def,6
Jonathan5,Def,9,Michael7,na,8
Score,,0,,,4
,,,,,
Game ID: ,146,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Jessica10,Off,7
Martin16,Off,6,Jose15,Def,8
Marcus17,Def,4,Danny19,na,9
Joeseph9,Def,7,Max14,Off,5
John4,Off,4,Frank8,Off,9
Sherman12,Def,5,Khoman 6,Def,6
Jonathan5,Def,9,Michael7,na,8
Score,,0,,,3
,,,,,
Game ID: ,147,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Vivien3,Off,8,John4,Off,4
Jonathan5,Def,9,Jessica10,Off,7
Martin16,Off,6,Frank8,Off,9
Jose15,Def,8,Marcus17,Def,4
Max14,Off,5,Jeffrey1,Off,7
Karen13,Def,7,Danny19,na,9
Ryan18,na,5,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,148,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Vivien3,Off,8,John4,Off,4
Jonathan5,Def,9,Jessica10,Off,7
Martin16,Off,6,Frank8,Off,9
Jose15,Def,8,Marcus17,Def,4
Max14,Off,5,Jeffrey1,Off,7
Karen13,Def,7,Danny19,na,9
Ryan18,na,5,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,149,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Khoman 6,Def,6
Jose15,Def,8,Jeffrey1,Off,7
Alex2,Off,3,Max14,Off,5
Chris20,Def,3,Danny19,na,9
Martin16,Off,6,Ryan18,na,5
Jessica10,Off,7,Sherman12,Def,5
Score,,0,,,3
,,,,,
Game ID: ,150,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Khoman 6,Def,6
Jose15,Def,8,Jeffrey1,Off,7
Alex2,Off,3,Max14,Off,5
Chris20,Def,3,Danny19,na,9
Martin16,Off,6,Ryan18,na,5
Jessica10,Off,7,Sherman12,Def,5
Score,,0,,,2
,,,,,
Game ID: ,151,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Tom11,na,3
Sherman12,Def,5,Ryan18,na,5
Frank8,Off,9,Jose15,Def,8
Alex2,Off,3,Jeffrey1,Off,7
Score,,0,,,0
,,,,,
Game ID: ,152,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Tom11,na,3
Sherman12,Def,5,Ryan18,na,5
Frank8,Off,9,Jose15,Def,8
Alex2,Off,3,Jeffrey1,Off,7
Score,,0,,,0
,,,,,
Game ID: ,153,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Jessica10,Off,7
Jose15,Def,8,Karen13,Def,7
Chris20,Def,3,Joeseph9,Def,7
Alex2,Off,3,Danny19,na,9
Vivien3,Off,8,,,
Score,,0,,,1
,,,,,
Game ID: ,154,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Jessica10,Off,7
Jose15,Def,8,Karen13,Def,7
Chris20,Def,3,Joeseph9,Def,7
Alex2,Off,3,Danny19,na,9
Vivien3,Off,8,,,
Score,,0,,,1
,,,,,
Game ID: ,155,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Karen13,Def,7
Martin16,Off,6,Max14,Off,5
Vivien3,Off,8,Marcus17,Def,4
Chris20,Def,3,Alex2,Off,3
Joeseph9,Def,7,Danny19,na,9
Score,,2,,,0
,,,,,
Game ID: ,156,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Karen13,Def,7
Martin16,Off,6,Max14,Off,5
Vivien3,Off,8,Marcus17,Def,4
Chris20,Def,3,Alex2,Off,3
Joeseph9,Def,7,Danny19,na,9
Score,,1,,,0
,,,,,
Game ID: ,157,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,John4,Off,4
Ryan18,na,5,Marcus17,Def,4
Joeseph9,Def,7,Jeffrey1,Off,7
Tom11,na,3,Martin16,Off,6
Khoman 6,Def,6,Karen13,Def,7
Jessica10,Off,7,Chris20,Def,3
Michael7,na,8,,,
Score,,2,,,0
,,,,,
Game ID: ,158,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,John4,Off,4
Ryan18,na,5,Marcus17,Def,4
Joeseph9,Def,7,Jeffrey1,Off,7
Tom11,na,3,Martin16,Off,6
Khoman 6,Def,6,Karen13,Def,7
Jessica10,Off,7,Chris20,Def,3
Michael7,na,8,,,
Score,,3,,,0
,,,,,
Game ID: ,159,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Chris20,Def,3
Khoman 6,Def,6,Jonathan5,Def,9
Jessica10,Off,7,Karen13,Def,7
Vivien3,Off,8,Jeffrey1,Off,7
Joeseph9,Def,7,Max14,Off,5
Martin16,Off,6,Danny19,na,9
Score,,0,,,1
,,,,,
Game ID: ,160,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Chris20,Def,3
Khoman 6,Def,6,Jonathan5,Def,9
Jessica10,Off,7,Karen13,Def,7
Vivien3,Off,8,Jeffrey1,Off,7
Joeseph9,Def,7,Max14,Off,5
Martin16,Off,6,Danny19,na,9
Score,,0,,,1
,,,,,
Game ID: ,161,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,John4,Off,4
Alex2,Off,3,Tom11,na,3
Chris20,Def,3,Joeseph9,Def,7
Khoman 6,Def,6,Danny19,na,9
Vivien3,Off,8,,,
Score,,1,,,0
,,,,,
Game ID: ,162,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,John4,Off,4
Alex2,Off,3,Tom11,na,3
Chris20,Def,3,Joeseph9,Def,7
Khoman 6,Def,6,Danny19,na,9
Vivien3,Off,8,,,
Score,,1,,,0
,,,,,
Game ID: ,163,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,John4,Off,4
Joeseph9,Def,7,Alex2,Off,3
Martin16,Off,6,Chris20,Def,3
Karen13,Def,7,Sherman12,Def,5
Frank8,Off,9,Jonathan5,Def,9
Khoman 6,Def,6,Max14,Off,5
Score,,4,,,0
,,,,,
Game ID: ,164,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,John4,Off,4
Joeseph9,Def,7,Alex2,Off,3
Martin16,Off,6,Chris20,Def,3
Karen13,Def,7,Sherman12,Def,5
Frank8,Off,9,Jonathan5,Def,9
Khoman 6,Def,6,Max14,Off,5
Score,,3,,,0
,,,,,
Game ID: ,165,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Alex2,Off,3
Jose15,Def,8,Tom11,na,3
John4,Off,4,Sherman12,Def,5
Frank8,Off,9,Martin16,Off,6
Karen13,Def,7,Jonathan5,Def,9
Vivien3,Off,8,Michael7,na,8
Score,,3,,,0
,,,,,
